Subject,Session,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010
1,1,1.0248563527947487373,0.49782613426540861523,0.66555316071862924421,0.070902992939712139453,-1.2201820313953912756,0.11842101890258850683,0.36929140449779618294,0.0028521379736416449871,-1.5688463252866295949,-0.2193041670244965935
2,1,0.24284624518130484838,2.4469785176822038686,0.97488920743064444441,-0.37789954716381252142,-1.2669843640919227212,-0.12606656396259541264,-0.15707173880283892276,2.1907174053612936682,0.83441348425917238885,-1.3113688357231367831
3,1,0.69639981394695227301,0.72152550746446142416,-0.24357055974929658904,0.28414847775737578361,0.94606302503620454125,0.6057977841875864522,-0.21597520321140703525,0.63428414318797166072,0.036027791715301259179,-1.5230737878008355768
4,1,-0.61545568447807796897,-0.72644844607740832743,-1.4489817578399022402,0.56584272586862438548,0.87739346115301974915,-0.32327845555634981967,-0.31929082191375263156,0.34091307809784282545,-0.2704154862582765495,0.088861944475155024703
5,1,0.60487377723997726164,1.0080748739367588751,-0.39668012962734916504,0.080865791587293844866,-1.2502040551659052703,0.7014562561983106459,-1.3975553400982498875,-0.70607000553069410032,-0.2729164952157005497,2.251461619340638709
6,1,-0.12952111774210223194,-0.37508122361449580673,-2.2190623899873473945,-0.8152259711995686331,-0.75935378312046275529,0.95566425654784536992,-1.5332578948745787528,0.29221290398232607766,1.3409688842123517194,1.4576109850093026399
7,1,0.97037585740551779434,0.73241251208607283107,0.57036601870578107487,0.10894275565882152734,-0.94136483554482031089,-0.31342791471496328493,-0.3978557921077429671,0.80428949087842260823,0.059261129340039943314,1.499192406369255659
8,1,-0.4165975892516628476,1.4091269658528284836,0.57951392784233624056,0.90393996060262560288,0.50684160276469625295,-0.98957915246030836443,-0.65556892949806910842,-0.35542753199741072834,-0.24059477768801526554,-0.76572937634883853075
9,1,-0.69821645028100098873,0.60871797187015508346,0.78232863401028784889,0.188341508665988977,-0.76667120933312415954,0.050551854209915397798,-0.023501381621166508862,0.68544652709636266774,0.36459358101579808498,-0.0019787545398860738842
10,1,0.079314511070303947426,-2.3772392443248246963,-1.9938445575195713477,-1.6699441174047191527,-0.44970825252075147249,-0.50039181376002084267,-0.59902725655844357711,-0.12192660048068443279,-0.23449772344412139757,-1.5769414353905255588
11,1,-0.77524289538581214742,1.6666649833493698551,0.710467906817947914,0.69734577177901135858,-1.0168247157546241866,0.27498122548307074586,-1.8518120835190099438,0.37315648411095680981,-1.7521493963748331346,1.375538325588753219
12,1,-0.47083237009044182075,0.3066294201844594336,1.6675629156186890789,0.81435091501960310545,-0.64015521382320117461,-0.18773940381787590503,1.3927177568553168463,0.96734299714747318255,-0.48434995779049627718,1.249464381580364325
